Timestamp,User_IP,Page_Visited,HTTP_Method,Status_Code,User_Agent,Session_Duration_sec
2025-01-29 02:27:41,132.66.245.170,/home,PUT,404,Chrome,450
2025-01-29 09:18:11,218.85.18.116,/cart,DELETE,404,Edge,116
2025-01-14 02:04:36,160.186.177.151,/checkout,GET,500,Edge,1074
2025-01-13 11:27:01,134.217.107.93,/login,PUT,500,Edge,999
2025-01-03 19:03:04,80.20.167.255,/dashboard,PUT,200,Chrome,1198
2025-01-03 10:22:03,58.95.222.179,/checkout,GET,200,Firefox,99
2025-01-15 21:07:35,56.64.207.106,/home,POST,301,Firefox,552
2025-01-21 05:46:46,35.120.51.159,/home,PUT,200,Firefox,336
2025-01-30 08:35:00,223.231.255.3,/dashboard,POST,200,Edge,161
2025-01-10 20:34:59,198.195.220.173,/home,GET,404,Chrome,698
2025-01-15 08:04:57,167.139.183.70,/products,POST,301,Chrome,712
2025-01-02 17:43:59,114.241.215.249,/login,GET,500,Safari,591
2025-01-09 03:22:10,200.148.196.178,/login,GET,500,Firefox,833
2025-01-19 09:27:28,107.224.223.148,/dashboard,POST,500,Edge,1040
2025-01-09 09:53:06,163.97.43.155,/dashboard,PUT,404,Edge,688
2025-01-25 21:15:36,70.61.33.18,/cart,PUT,200,Edge,576
2025-01-16 06:02:07,204.171.242.255,/checkout,POST,404,Safari,545
2025-01-16 18:48:11,75.250.154.43,/products,GET,404,Safari,378
2025-01-08 16:04:29,240.104.50.67,/products,PUT,404,Chrome,665
2025-01-29 02:55:04,17.5.87.120,/checkout,POST,200,Safari,178
2025-01-17 18:54:52,18.36.2.133,/login,GET,500,Chrome,464
2025-01-22 12:54:45,80.164.203.194,/dashboard,GET,404,Chrome,419
2025-01-02 10:53:37,62.247.199.243,/login,PUT,500,Safari,89
2025-01-30 05:52:20,242.208.132.202,/products,PUT,404,Firefox,1036
2025-01-26 00:52:13,223.206.149.80,/cart,POST,200,Edge,1053
2025-01-06 09:14:15,100.122.231.168,/dashboard,PUT,200,Chrome,128
2025-01-16 01:45:58,34.101.196.210,/cart,PUT,500,Edge,31
2025-01-19 06:21:17,159.143.188.1,/cart,POST,500,Safari,904
