11,Bstudent_id,roll_number,registration_number,university_id,college_id,department_id,program_name,specialization,gender,date_of_birth,age,category,minority_status,domicile_state,nationality,family_income_range,parent_education_level,parent_occupation,first_generation_learner,scholarship_status,financial_aid_type,10th_percentage,10th_board,12th_percentage,12th_board,12th_stream,entrance_exam_score,entrance_exam_rank,admission_type,gap_years,academic_year,semester,course_code,course_name,course_type,credit_score,course_difficulty_index,faculty_id,total_lectures,lectures_attended,attendance_percentage,attendance_status,lms_login_frequency,avg_session_duration_minutes,assignment_submission_rate,late_submission_count,forum_participation_count,quiz_attempt_rate,assignment_marks_avg,quiz_marks_avg,midterm_marks,internal_assessment_total,internal_rank,improvement_trend,end_sem_marks,practical_marks,theory_marks,total_marks,percentage,grade,grade_point,sgpa,cgpa,pass_fail_status,backlog_count,study_hours_per_day,sleep_hours_avg,mobile_usage_hours,hostel_resident,commute_time_minutes,part_time_job,extracurricular_participation_level,stress_level,motivation_level,time_management_score,learning_style,career_clarity_score,self_efficacy_score,faculty_experience_years,faculty_rating_avg,student_teacher_ratio,class_size,teaching_method,course_feedback_score,library_usage_frequency,lab_access_hours,mentorship_sessions_attended,remedial_classes_attended,placement_training_participation
1,BCA0001,MMDU2026REG0001,MMDU,MMICTBM,CS,BCA,AI,Male,2003-06-08,24,GEN,Yes,Bihar,Indian,6-8 LPA,Post-Graduate,Teacher,Yes,Yes,Govt,87.39,CBSE,72.62,State,Arts,83,6701,Management,0,2025-26,VI,BCA601,Final Semester,Core,4,3.9,FAC119,120,87,87,High,60,45,0.71,2,10,0.68,82,78,90,213,29,Flat,78,80,83,246,66.42,C,6.1,7.72,6.56,Pass,1,2.9,7,3.2,No,10,Yes,Medium,1,5,51,Kinesthetic,62,42,10,4.81,26,38,Traditional,4.43,11,22,1,3,Yes
2,BCA0002,MMDU2026REG0002,MMDU,MMICTBM,CS,BCA,Cyber Security,Male,2003-03-25,21,GEN,No,Bihar,Indian,4-6 LPA,10th,Farmer,No,Yes,Private,66.84,CBSE,78.19,CBSE,Commerce,72,7039,Management,0,2025-26,VI,BCA601,Final Semester,Core,4,3.67,FAC106,120,60,60,Low,36,28,0.79,3,12,0.94,78,85,75,204,13,Up,55,69,83,216,83.96,B+,7.9,7.58,8.99,Pass,1,7.2,6.1,5.5,Yes,8,No,Low,2,4,74,Visual,81,70,13,3.62,25,59,Traditional,4.59,19,31,4,4,Yes
3,BCA0003,MMDU2026REG0003,MMDU,MMICTBM,CS,BCA,Data Science,Female,2004-07-31,22,GEN,Yes,Haryana,Indian,4-6 LPA,Graduate,Business,No,No,Govt,74.07,CBSE,86.58,CBSE,Science,66,3322,Merit,2,2025-26,VI,BCA601,Final Semester,Core,4,4.17,FAC105,120,77,77,Medium,27,40,0.72,3,8,0.61,95,66,77,221,45,Down,88,76,60,260,70.84,A,9.3,8.4,8.86,Pass,0,3.9,7,4.5,Yes,31,No,Medium,4,3,67,Reading,84,46,6,4.83,31,53,Blended,3.8,13,40,0,0,No
4,BCA0004,MMDU2026REG0004,MMDU,MMICTBM,CS,BCA,Cloud,Male,2002-10-11,23,GEN,Yes,Punjab,Indian,4-6 LPA,10th,Business,Yes,No,NA,83.82,State,65.92,State,Science,83,6646,Management,2,2025-26,VI,BCA601,Final Semester,Core,4,3.66,FAC111,120,84,84,Medium,56,35,0.81,0,11,0.92,93,87,66,181,11,Up,89,74,88,185,65.11,B+,6.8,8.97,7.41,Pass,2,6.4,7.2,3.5,Yes,53,Yes,Low,1,1,55,Visual,75,44,8,3.83,23,33,Traditional,4.91,28,15,1,1,No
5,BCA0005,MMDU2026REG0005,MMDU,MMICTBM,CS,BCA,Data Science,Male,2002-01-11,21,SC,No,Haryana,Indian,4-6 LPA,Graduate,Business,No,Yes,NA,92.94,State,82.61,State,Science,68,2804,Quota,0,2025-26,VI,BCA601,Final Semester,Core,4,4.18,FAC115,120,82,82,Medium,30,33,0.95,4,2,0.75,80,72,56,241,19,Flat,87,77,89,195,65.65,A+,6.2,7.96,6.49,Pass,1,5.4,7.6,5.2,No,52,No,Low,4,3,73,Kinesthetic,67,74,16,4.45,23,40,Blended,4.31,24,33,7,0,No
6,BCA0006,MMDU2026REG0006,MMDU,MMICTBM,CS,BCA,Cloud,Female,2003-04-13,23,GEN,Yes,Bihar,Indian,6-8 LPA,Post-Graduate,Farmer,Yes,No,Private,60.68,CBSE,76.71,CBSE,Science,63,3293,Quota,2,2025-26,VI,BCA601,Final Semester,Core,4,3.85,FAC104,120,65,65,Low,39,37,0.73,0,5,0.88,85,87,74,268,36,Flat,65,71,62,225,65.23,A+,9,5.62,8.32,Pass,0,6.9,6.3,4,No,17,No,High,5,1,80,Kinesthetic,40,56,5,4.19,32,43,Online,4.11,22,40,5,1,No
7,BCA0007,MMDU2026REG0007,MMDU,MMICTBM,CS,BCA,Cyber Security,Female,2003-10-08,21,OBC,Yes,Bihar,Indian,2-4 LPA,Graduate,Service,No,No,NA,79.77,State,68.71,State,Arts,55,1655,Management,0,2025-26,VI,BCA601,Final Semester,Core,4,4.37,FAC112,120,86,86,High,58,39,0.96,1,0,0.92,65,86,87,237,49,Down,82,63,87,205,84.75,A,7.1,8.92,7.16,Pass,1,3.8,7.2,6.6,No,21,Yes,High,5,3,43,Auditory,48,75,16,4.51,38,63,Blended,4.4,12,30,2,0,No
8,BCA0008,MMDU2026REG0008,MMDU,MMICTBM,CS,BCA,Data Science,Female,2002-04-21,22,GEN,No,Haryana,Indian,2-4 LPA,10th,Business,Yes,No,NA,88.26,State,89.93,CBSE,Commerce,69,3821,Quota,1,2025-26,VI,BCA601,Final Semester,Core,4,4.08,FAC103,120,76,76,Medium,55,43,0.83,4,4,0.86,95,59,60,232,27,Up,77,69,62,218,61.72,A,8,7.89,8.31,Pass,2,5.2,5.1,6,No,36,Yes,High,4,2,49,Kinesthetic,61,71,20,3.76,20,40,Online,4,20,39,5,2,Yes
9,BCA0009,MMDU2026REG0009,MMDU,MMICTBM,CS,BCA,AI,Male,2004-11-28,21,ST,No,Punjab,Indian,4-6 LPA,10th,Farmer,No,No,Govt,69.74,State,75.93,CBSE,Commerce,65,2352,Quota,1,2025-26,VI,BCA601,Final Semester,Core,4,4.43,FAC102,120,62,62,Low,33,27,0.75,2,7,0.67,89,88,89,234,8,Up,90,65,89,184,71.66,B,8,7.18,7.14,Pass,2,4.4,5.2,3.7,Yes,30,Yes,Medium,5,2,82,Kinesthetic,73,72,19,4.37,30,63,Blended,4.37,5,30,6,1,Yes
10,BCA0010,MMDU2026REG0010,MMDU,MMICTBM,CS,BCA,Cloud,Female,2004-03-13,22,GEN,No,Haryana,Indian,2-4 LPA,Post-Graduate,Farmer,Yes,No,Govt,70.01,State,73.7,CBSE,Science,66,1988,Quota,1,2025-26,VI,BCA601,Final Semester,Core,4,3.38,FAC103,120,87,87,High,26,41,0.86,1,6,0.72,62,89,75,261,46,Down,65,67,61,217,75.11,A,9.2,6.08,7.89,Pass,0,2.3,6,3.1,Yes,13,No,High,3,4,63,Reading,46,74,11,4.59,22,31,Online,3.9,14,23,9,5,Yes
